filename,tempo,beats,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00081.au,103.359375,50,0.38026021,0.248262286,2116.942959,1956.611056,4196.10796,0.127272473,-26.9297847,107.3340076,-46.80999314,40.93263381,-21.46377582,24.81627495,-18.94557135,15.25345946,-15.05010408,12.26282276,-15.2340499,14.33661217,-13.82176877,7.562788734,-6.181372493,0.330165006,-6.829571234,0.965921744,-7.570824747,2.918986943,1
blues.00022.au,95.703125,44,0.306450871,0.113475412,1156.070496,1497.668176,2170.053545,0.058613402,-233.8607719,136.1702391,3.289489746,48.9311927,8.699106029,13.95475177,5.359448746,0.381334016,-13.49026502,16.87176853,5.145257765,-2.250577765,3.959197787,5.322554727,0.812028402,-1.1072016,-4.556555095,-2.436489803,3.316912612,-0.608484894,1
blues.00031.au,151.9990809,75,0.253487102,0.151570767,1331.07397,1973.643437,2900.17413,0.042967238,-221.8025493,110.8430705,18.62098358,30.9229964,3.291329639,22.58744675,-20.41830257,12.12099491,-26.34795623,-4.356270119,-26.40667424,-13.03772344,-12.6522277,-1.821905314,-7.260096643,-6.660251774,-14.68269352,-11.71926356,-11.02521621,-13.38726005,1
blues.00012.au,184.5703125,91,0.269320022,0.119071715,1361.045467,1567.804596,2739.625101,0.069123921,-207.20808,132.7991755,-15.43898557,60.98672701,0.725806999,12.4378277,1.183835723,-1.540779448,-17.88815391,8.358496131,-2.45206763,-0.613248178,0.38487737,2.605127927,-5.188923751,-9.527455287,-9.244394049,-2.848273751,-1.418706862,-5.93260696,1
blues.00056.au,161.4990234,74,0.391058605,0.137728348,1811.076084,2052.332563,3927.809582,0.075479513,-145.4345676,102.8290234,-12.51767705,56.99347248,2.271347314,26.59140169,-4.274803265,17.33880938,-7.985592904,15.23542685,-6.934599487,7.457217936,-10.47044404,-2.360483396,-6.7836235,2.671134086,-4.760879375,-0.949004851,0.024832053,-2.005314621,1
blues.00058.au,107.6660156,51,0.356588176,0.162027627,2068.371125,2033.930047,4231.499413,0.104371629,-95.43602667,105.2166999,-26.95301214,60.83087296,-4.828224038,21.53847091,-13.51477824,12.12210695,-20.23363443,12.1386576,-5.227018433,10.26257519,-9.438187173,3.867534655,-10.18745284,3.588092744,-3.100752645,0.194596849,0.842871832,-3.416576421,1
blues.00066.au,161.4990234,80,0.37470972,0.11049626,2340.432873,2256.538115,4972.503265,0.121775152,-116.5174019,97.43027908,-13.88019079,48.96675901,-22.58224352,27.7539693,-20.22864953,18.63077043,-14.642884,8.473100382,-16.64465499,10.99819032,-13.86180078,9.735367422,-5.089488005,2.63463793,-9.883816293,6.159058835,-7.682607919,-4.852478817,1
blues.00060.au,151.9990809,74,0.430894125,0.19622159,1946.565652,1979.909934,3955.867746,0.097453681,-67.77097956,111.7041844,-34.64610469,61.33489585,0.050251668,30.56061363,-12.70172482,21.15956663,-13.1311449,16.28229439,-6.335244724,12.29583184,-12.47798835,1.681277903,-5.142068413,4.644001793,-6.919217465,1.040718341,-4.736870881,-0.660037066,1
blues.00025.au,92.28515625,45,0.290948435,0.08922226,1109.569627,1463.288131,2243.569767,0.051724933,-249.2819959,130.9979243,0.665435009,66.69611479,17.90589452,4.62295984,6.610036443,1.245375534,1.41917471,-1.584292524,-0.974159309,-3.575064543,-2.926914689,4.598685627,7.478114826,-0.178769574,-2.818857418,-2.667636366,0.751667098,-0.533179328,1
blues.00014.au,151.9990809,70,0.329162735,0.066980533,1172.065695,1705.817502,2344.952487,0.045045835,-305.7051872,113.0609114,12.11872261,45.03000324,17.76975937,14.57991675,4.166733602,0.225273155,-7.021746776,13.64427154,8.934528985,1.298478063,5.954477764,8.543866906,1.117663746,0.591558672,0.057473911,-3.712341583,-1.004448062,-1.802433851,1
blues.00093.au,58.72691761,26,0.377690445,0.065906294,569.930721,995.4071254,927.4277253,0.021700549,-350.4362044,169.5457525,31.82037204,16.682836,28.71014699,19.25697515,7.863395228,10.03676417,4.735106442,2.90746613,3.915552617,1.821689658,-5.970891627,-5.259567526,-0.22921075,-1.776850528,-3.713751193,0.181590195,2.072390115,-2.89622457,1
blues.00097.au,117.4538352,53,0.375158189,0.198281616,1236.57428,1602.309124,2604.15092,0.044625958,-148.6391734,145.7463112,-9.363638697,48.45377028,10.55743718,18.00643194,-2.626047985,16.95548949,-11.51266129,8.724416911,-8.164550812,3.230692524,-0.667059721,-0.727791088,-6.821160298,-3.942547253,-15.73937016,-5.604687665,-5.802769757,-0.048728947,1
blues.00040.au,172.265625,83,0.397724776,0.134891763,2272.495079,2356.855937,5108.319111,0.097657006,-110.2600792,90.70181195,-2.527486907,74.05327233,-11.74730064,39.21467143,-13.1718193,20.53527365,-17.16364137,12.82871271,-21.43357994,5.952405103,-8.033585673,4.239867717,-16.48555224,6.542502571,-5.69594348,-3.640864028,-4.856883647,1.854516431,1
blues.00096.au,143.5546875,66,0.260573779,0.05134932,1132.340629,1582.492047,2065.479177,0.048313767,-314.5828092,139.9267411,11.86585129,30.11331433,-7.549763524,14.91417902,-2.699562369,6.70792996,-6.391600672,2.819350095,-11.71541354,2.077479594,-11.44250148,-9.504389523,-15.18549486,-9.355572388,-5.672771474,1.564771999,0.890935739,-7.9603765,1
blues.00095.au,135.9991776,67,0.369972514,0.187148333,1388.394749,1772.85438,2754.52501,0.057147425,-130.5539723,139.9770993,-1.269146063,39.32365377,-6.351805686,19.76908921,-11.21304153,27.24610694,-16.5326656,7.031402854,-1.197161377,1.61175753,-6.628306543,4.952240321,-1.633326062,0.956659146,-4.840757296,-5.966955169,-2.782186921,-6.494001173,1
blues.00068.au,161.4990234,80,0.28993232,0.103115268,2513.716817,2345.230614,5247.443269,0.135146197,-113.1677733,88.70933416,-8.925342997,49.48749509,-34.58000748,15.86509054,-17.74437604,14.71409893,-11.20761584,15.36656408,-15.08172996,8.74878817,-18.63089896,5.474218053,-9.267429646,8.017964216,-9.55207437,5.873593846,-4.402835066,3.615348581,1
blues.00071.au,73.828125,35,0.305262178,0.120541789,2429.260934,2286.625281,5065.027706,0.134686638,-89.35790637,93.78605524,-14.57453769,54.39165392,-33.50837964,19.42099379,-19.76160055,13.02632019,-13.8659572,14.6077659,-14.96952599,10.58557066,-18.02693446,6.654246868,-10.20474701,6.527642259,-10.8467453,3.319423395,-6.189024384,2.994840594,1
blues.00080.au,117.4538352,54,0.368158238,0.242433578,1827.148036,1898.717124,3743.61903,0.094038736,-54.72768903,119.4731949,-34.84558258,37.52879271,-15.87404215,22.06843985,-14.65540389,18.51984869,-9.629923766,11.25599983,-11.72300494,11.53546228,-6.421255947,1.788087221,-5.874568806,0.370938726,-9.066487747,-2.02123164,-5.417519707,0.02424382,1
blues.00094.au,103.359375,44,0.376686703,0.14101781,1239.337228,1659.46647,2517.61811,0.050907855,-206.2784314,126.627468,10.58520484,43.22316786,12.50148752,19.42500199,0.357382241,12.73880823,-4.572330207,4.050817279,-4.413952821,3.659408618,-1.448480704,-1.695150183,-7.157463819,1.1711139,-6.221974597,0.60070259,-1.605094951,-0.528773855,1
blues.00029.au,129.1992188,62,0.280456455,0.124715231,1649.293771,2190.248306,3761.427255,0.052926362,-233.7245905,101.1835951,17.65027183,23.73435507,2.079372162,25.94029263,-16.9677095,15.09417308,-22.27878781,4.400507332,-23.20163672,-6.046127063,-5.065351166,1.073172689,-5.780491663,-8.305595504,-11.38634609,-6.7253159,-10.02770672,-14.03526912,1
